 -0.193750000000000E+01 -0.181250000000000E+01 -0.168750000000000E+01 -0.156250000000000E+01
 -0.143750000000000E+01 -0.131250000000000E+01 -0.118750000000000E+01 -0.106250000000000E+01
 -0.937500000000000E+00 -0.812500000000000E+00 -0.687500000000000E+00 -0.562500000000000E+00
 -0.437500000000000E+00 -0.312500000000000E+00 -0.187500000000000E+00 -0.625000000000000E-01
  0.625000000000000E-01  0.187500000000000E+00  0.312500000000000E+00  0.437500000000000E+00
  0.562500000000000E+00  0.687500000000000E+00  0.812500000000000E+00  0.937500000000000E+00
  0.106250000000000E+01  0.118750000000000E+01  0.131250000000000E+01  0.143750000000000E+01
  0.156250000000000E+01  0.168750000000000E+01  0.181250000000000E+01  0.193750000000000E+01
  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01
  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01
  0.992314112161292E+00  0.932587844921018E+00  0.822228093207841E+00  0.678036128806451E+00
  0.521963871193549E+00  0.377771906792159E+00  0.267412155078982E+00  0.207685887838708E+00
  0.207685887838708E+00  0.267412155078982E+00  0.377771906792159E+00  0.521963871193549E+00
  0.678036128806451E+00  0.822228093207841E+00  0.932587844921018E+00  0.992314112161292E+00
  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01
  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01  0.100000000000000E+01
  0.346191761780027E+01  0.346191761780027E+01  0.346191761780027E+01  0.346191761780027E+01
  0.346191761780027E+01  0.346191761780027E+01  0.346191761780027E+01  0.346191761780027E+01
  0.346141606231132E+01  0.345814285648995E+01  0.345004438914256E+01  0.343263313184251E+01
  0.339394540038243E+01  0.330128205372111E+01  0.307118285964450E+01  0.256728938630841E+01
  0.181146795822499E+01  0.112706159881001E+01  0.700134845989612E+00  0.468878179076121E+00
  0.344355644447895E+00  0.275958783541009E+00  0.239323553753136E+00  0.223222072059515E+00
  0.220671688962745E+00  0.220671688962745E+00  0.220671688962745E+00  0.220671688962745E+00
  0.220671688962745E+00  0.220671688962745E+00  0.220671688962745E+00  0.220671688962745E+00
  0.404509662190555E+02  0.404509662190555E+02  0.404509662190555E+02  0.404509662190555E+02
  0.404509662190555E+02  0.404509662190555E+02  0.404509662190555E+02  0.404509662190555E+02
  0.408773378909673E+02  0.435544392093563E+02  0.495585376545826E+02  0.604809290543820E+02
  0.795827160932719E+02  0.113129194887799E+03  0.171327687155222E+03  0.262278943734015E+03
  0.372380688234033E+03  0.468327239718965E+03  0.534640409250408E+03  0.576776546914559E+03
  0.603259731304043E+03  0.619744601011854E+03  0.629399516857168E+03  0.633874548701685E+03
  0.634598453789122E+03  0.634598453789122E+03  0.634598453789122E+03  0.634598453789122E+03
  0.634598453789122E+03  0.634598453789122E+03  0.634598453789122E+03  0.634598453789122E+03
  0.297158010953725E+06  0.297158010953725E+06  0.297158010953725E+06  0.297158010953725E+06
  0.297158010953725E+06  0.297158010953725E+06  0.297158010953725E+06  0.297158010953725E+06
  0.297097741826204E+06  0.296704509996715E+06  0.295732253204327E+06  0.293645195380521E+06
  0.289023835810939E+06  0.278046874690293E+06  0.251361971263201E+06  0.195839725527378E+06
  0.120530615090296E+06  0.621078527872910E+05  0.318553384621727E+05  0.181421628085502E+05
  0.117612070437480E+05  0.861895515189137E+04  0.705725616818613E+04  0.640013051826842E+04
  0.629780615264276E+04  0.629780615264276E+04  0.629780615264276E+04  0.629780615264276E+04
  0.629780615264276E+04  0.629780615264276E+04  0.629780615264276E+04  0.629780615264276E+04
